date,state
2020-03-28,TO
2020-03-28,PA
2020-03-28,DF
2020-03-28,AP
2020-03-29,TO
2020-03-29,PA
2020-03-29,DF
2020-03-29,AP
2020-03-30,TO
2020-03-30,PA
2020-03-30,DF
2020-03-30,AP
2020-03-31,TO
2020-03-31,PA
2020-03-31,DF
2020-03-31,AP
2020-04-01,TO
2020-04-01,DF
2020-04-01,AP
2020-04-02,TO
2020-04-02,PA
2020-04-02,DF
2020-04-02,AP
2020-04-03,TO
2020-04-03,PA
2020-04-03,DF
2020-04-03,AP
2020-04-04,TO
2020-04-04,DF
2020-04-04,AP
2020-04-05,TO
2020-04-05,DF
2020-04-05,AP
2020-04-06,TO
2020-04-06,DF
2020-04-06,AP
2020-04-07,TO
2020-04-07,DF
2020-04-07,AP
2020-04-08,TO
2020-04-08,DF
2020-04-08,AP
2020-04-09,TO
2020-04-09,DF
2020-04-09,AP
2020-04-10,TO
2020-04-10,DF
2020-04-10,AP
2020-04-11,TO
2020-04-11,DF
2020-04-11,AP
2020-04-12,DF
2020-04-12,AP
2020-04-13,DF
2020-04-13,AP
2020-04-14,DF
2020-04-15,DF
2020-04-16,TO
2020-04-16,DF
2020-04-17,DF
2020-04-18,DF
2020-04-19,DF
2020-04-20,DF
2020-04-21,DF
2020-04-22,DF
2020-04-23,DF
2020-04-24,DF
2020-04-25,DF
2020-04-26,DF
2020-04-27,DF
2020-04-28,DF
2020-04-29,DF
2020-04-30,DF
2020-05-01,DF
2020-05-02,DF
2020-05-03,DF
2020-05-04,DF
2020-05-05,DF
2020-05-06,DF
2020-05-07,DF
2020-05-08,DF
2020-05-09,DF
2020-05-10,DF
2020-05-11,DF
2020-05-12,DF
2020-05-13,DF
2020-05-14,DF
2020-05-15,DF
2020-05-16,DF
2020-05-17,DF
2020-05-18,DF
2020-05-19,DF
2020-05-20,DF
2020-05-21,DF
2020-05-22,DF
2020-05-23,DF
2020-05-24,DF
2020-05-25,DF
2020-05-26,DF
2020-05-27,DF
2020-05-28,DF
2020-05-29,DF
2020-05-30,DF
2020-05-31,DF
2020-06-01,DF
2020-06-02,DF
2020-06-03,DF
2020-06-04,DF
2020-06-05,DF
2020-06-06,DF
2020-06-07,DF
2020-06-08,DF
2020-06-09,DF
2020-06-10,DF
2020-06-11,DF
2020-06-12,DF
2020-06-13,DF
2020-06-14,DF
2020-06-15,DF
2020-06-16,DF
2020-06-17,DF
2020-06-18,DF
2020-06-19,DF
2020-06-20,DF
2020-06-21,DF
2020-06-22,DF
2020-06-23,DF
2020-06-24,DF
2020-06-25,DF
2020-06-26,DF
2020-06-27,DF
2020-06-28,DF
2020-06-29,DF
