date,state
2020-02-25,TO
2020-02-25,SP
2020-02-25,SE
2020-02-25,SC
2020-02-25,RS
2020-02-25,RR
2020-02-25,RO
2020-02-25,RN
2020-02-25,RJ
2020-02-25,PR
2020-02-25,PI
2020-02-25,PE
2020-02-25,PB
2020-02-25,PA
2020-02-25,MT
2020-02-25,MS
2020-02-25,MG
2020-02-25,MA
2020-02-25,GO
2020-02-25,ES
2020-02-25,DF
2020-02-25,CE
2020-02-25,BA
2020-02-25,AP
2020-02-25,AM
2020-02-25,AL
2020-02-25,AC
2020-02-26,TO
2020-02-26,SP
2020-02-26,SE
2020-02-26,SC
2020-02-26,RS
2020-02-26,RR
2020-02-26,RO
2020-02-26,RN
2020-02-26,RJ
2020-02-26,PR
2020-02-26,PI
2020-02-26,PE
2020-02-26,PB
2020-02-26,PA
2020-02-26,MT
2020-02-26,MS
2020-02-26,MG
2020-02-26,MA
2020-02-26,GO
2020-02-26,ES
2020-02-26,DF
2020-02-26,CE
2020-02-26,BA
2020-02-26,AP
2020-02-26,AM
2020-02-26,AL
2020-02-26,AC
2020-02-27,TO
2020-02-27,SP
2020-02-27,SE
2020-02-27,SC
2020-02-27,RS
2020-02-27,RR
2020-02-27,RO
2020-02-27,RN
2020-02-27,RJ
2020-02-27,PR
2020-02-27,PI
2020-02-27,PE
2020-02-27,PB
2020-02-27,PA
2020-02-27,MT
2020-02-27,MS
2020-02-27,MG
2020-02-27,MA
2020-02-27,GO
2020-02-27,ES
2020-02-27,DF
2020-02-27,CE
2020-02-27,BA
2020-02-27,AP
2020-02-27,AM
2020-02-27,AL
2020-02-27,AC
2020-02-28,TO
2020-02-28,SP
2020-02-28,SE
2020-02-28,SC
2020-02-28,RS
2020-02-28,RR
2020-02-28,RO
2020-02-28,RN
2020-02-28,RJ
2020-02-28,PR
2020-02-28,PI
2020-02-28,PE
2020-02-28,PB
2020-02-28,PA
2020-02-28,MT
2020-02-28,MS
2020-02-28,MG
2020-02-28,MA
2020-02-28,GO
2020-02-28,ES
2020-02-28,DF
2020-02-28,CE
2020-02-28,BA
2020-02-28,AP
2020-02-28,AM
2020-02-28,AL
2020-02-28,AC
2020-02-29,TO
2020-02-29,SP
2020-02-29,SE
2020-02-29,SC
2020-02-29,RS
2020-02-29,RR
2020-02-29,RO
2020-02-29,RN
2020-02-29,RJ
2020-02-29,PR
2020-02-29,PI
2020-02-29,PE
2020-02-29,PB
2020-02-29,PA
2020-02-29,MT
2020-02-29,MS
2020-02-29,MG
2020-02-29,MA
2020-02-29,GO
2020-02-29,ES
2020-02-29,DF
2020-02-29,CE
2020-02-29,BA
2020-02-29,AP
2020-02-29,AM
2020-02-29,AL
2020-02-29,AC
2020-03-01,TO
2020-03-01,SP
2020-03-01,SE
2020-03-01,SC
2020-03-01,RS
2020-03-01,RR
2020-03-01,RO
2020-03-01,RN
2020-03-01,RJ
2020-03-01,PR
2020-03-01,PI
2020-03-01,PE
2020-03-01,PB
2020-03-01,PA
2020-03-01,MT
2020-03-01,MS
2020-03-01,MG
2020-03-01,MA
2020-03-01,GO
2020-03-01,ES
2020-03-01,DF
2020-03-01,CE
2020-03-01,BA
2020-03-01,AP
2020-03-01,AM
2020-03-01,AL
2020-03-01,AC
2020-03-02,TO
2020-03-02,SP
2020-03-02,SE
2020-03-02,SC
2020-03-02,RS
2020-03-02,RR
2020-03-02,RO
2020-03-02,RN
2020-03-02,RJ
2020-03-02,PR
2020-03-02,PI
2020-03-02,PE
2020-03-02,PB
2020-03-02,PA
2020-03-02,MT
2020-03-02,MS
2020-03-02,MG
2020-03-02,MA
2020-03-02,GO
2020-03-02,ES
2020-03-02,DF
2020-03-02,CE
2020-03-02,BA
2020-03-02,AP
2020-03-02,AM
2020-03-02,AL
2020-03-02,AC
2020-03-03,TO
2020-03-03,SP
2020-03-03,SE
2020-03-03,SC
2020-03-03,RS
2020-03-03,RR
2020-03-03,RO
2020-03-03,RN
2020-03-03,RJ
2020-03-03,PR
2020-03-03,PI
2020-03-03,PE
2020-03-03,PB
2020-03-03,PA
2020-03-03,MT
2020-03-03,MS
2020-03-03,MG
2020-03-03,MA
2020-03-03,GO
2020-03-03,ES
2020-03-03,DF
2020-03-03,CE
2020-03-03,BA
2020-03-03,AP
2020-03-03,AM
2020-03-03,AL
2020-03-03,AC
2020-03-04,TO
2020-03-04,SP
2020-03-04,SE
2020-03-04,SC
2020-03-04,RS
2020-03-04,RR
2020-03-04,RO
2020-03-04,RN
2020-03-04,RJ
2020-03-04,PR
2020-03-04,PI
2020-03-04,PE
2020-03-04,PB
2020-03-04,PA
2020-03-04,MT
2020-03-04,MS
2020-03-04,MG
2020-03-04,MA
2020-03-04,GO
2020-03-04,ES
2020-03-04,DF
2020-03-04,CE
2020-03-04,BA
2020-03-04,AP
2020-03-04,AM
2020-03-04,AL
2020-03-04,AC
2020-03-05,TO
2020-03-05,SP
2020-03-05,SE
2020-03-05,SC
2020-03-05,RS
2020-03-05,RR
2020-03-05,RO
2020-03-05,RN
2020-03-05,RJ
2020-03-05,PR
2020-03-05,PI
2020-03-05,PE
2020-03-05,PB
2020-03-05,PA
2020-03-05,MT
2020-03-05,MS
