date,state,cases_diff,deaths_diff
2020-03-27,TO,8.0,0
2020-03-27,SP,1223.0,68
2020-03-27,SE,16.0,0
2020-03-27,SC,149.0,1
2020-03-27,RS,195.0,2
2020-03-27,RR,10.0,0
2020-03-27,RO,6.0,0
2020-03-27,RN,28.0,0
2020-03-27,RJ,493.0,10
2020-03-27,PR,119.0,2
2020-03-27,PI,9.0,0
2020-03-27,PE,56.0,4
2020-03-27,PB,9.0,0
2020-03-27,PA,13.0,0
2020-03-27,MT,11.0,0
2020-03-27,MS,28.0,0
2020-03-27,MG,189.0,0
2020-03-27,MA,13.0,0
2020-03-27,GO,49.0,1
2020-03-27,ES,47.0,0
2020-03-27,DF,230.0,0
2020-03-27,CE,282.0,3
2020-03-27,BA,115.0,0
2020-03-27,AP,2.0,0
2020-03-27,AM,81.0,1
2020-03-27,AL,11.0,0
2020-03-27,AC,25.0,0
2020-03-28,SP,1329.0,81
2020-03-28,SE,1.0,0
2020-03-28,SC,53.0,1
2020-03-28,RS,147.0,2
2020-03-28,RR,9.0,0
2020-03-28,RO,5.0,0
2020-03-28,RN,2.0,0
2020-03-28,RJ,512.0,11
2020-03-28,PR,19.0,0
2020-03-28,PI,1.0,1
2020-03-28,PE,13.0,1
2020-03-28,PB,12.0,0
2020-03-28,MT,3.0,0
2020-03-28,MS,28.0,0
2020-03-28,MG,173.0,0
2020-03-28,MA,13.0,0
2020-03-28,GO,12.0,0
2020-03-28,ES,24.0,0
2020-03-28,CE,7.0,0
2020-03-28,BA,29.0,0
2020-03-28,AM,2.0,0
2020-03-28,AL,1.0,0
2020-03-28,AC,25.0,0
2020-03-29,SP,1370.0,95
2020-03-29,SE,1.0,0
2020-03-29,SC,54.0,1
2020-03-29,RS,174.0,2
2020-03-29,RR,13.0,0
2020-03-29,RO,5.0,0
2020-03-29,RN,5.0,0
2020-03-29,RJ,548.0,15
2020-03-29,PR,25.0,0
2020-03-29,PI,1.0,1
2020-03-29,PE,14.0,1
2020-03-29,PB,12.0,0
2020-03-29,MT,3.0,0
2020-03-29,MS,31.0,0
2020-03-29,MG,194.0,0
2020-03-29,MA,15.0,0
2020-03-29,GO,12.0,0
2020-03-29,ES,27.0,0
2020-03-29,CE,10.0,0
2020-03-29,BA,31.0,0
2020-03-29,AM,2.0,0
2020-03-29,AL,1.0,0
2020-03-29,AC,32.0,0
2020-03-30,SP,1427.0,109
2020-03-30,SE,1.0,0
2020-03-30,SC,54.0,1
2020-03-30,RS,185.0,2
2020-03-30,RR,13.0,0
2020-03-30,RO,5.0,0
2020-03-30,RN,8.0,0
2020-03-30,RJ,594.0,16
2020-03-30,PR,29.0,0
2020-03-30,PI,1.0,1
2020-03-30,PE,14.0,1
2020-03-30,PB,13.0,0
2020-03-30,MT,3.0,0
2020-03-30,MS,38.0,0
2020-03-30,MG,216.0,1
2020-03-30,MA,22.0,1
2020-03-30,GO,13.0,0
2020-03-30,ES,33.0,0
2020-03-30,CE,9.0,0
2020-03-30,BA,39.0,0
2020-03-30,AM,3.0,0
2020-03-30,AL,5.0,0
2020-03-30,AC,36.0,0
2020-03-31,SP,2153.0,129
2020-03-31,SE,1.0,0
2020-03-31,SC,44.0,1
2020-03-31,RS,212.0,3
2020-03-31,RR,13.0,0
2020-03-31,RO,6.0,1
