date,state,cases,deaths
2020-03-27,TO,0.0,0
2020-03-27,SP,0.0,0
2020-03-27,SE,0.0,0
2020-03-27,SC,0.0,0
2020-03-27,RS,0.0,0
2020-03-27,RR,0.0,0
2020-03-27,RO,0.0,0
2020-03-27,RN,0.0,0
2020-03-27,RJ,0.0,0
2020-03-27,PR,0.0,0
2020-03-27,PI,0.0,0
2020-03-27,PE,0.0,0
2020-03-27,PB,0.0,0
2020-03-27,PA,0.0,0
2020-03-27,MT,0.0,0
2020-03-27,MS,0.0,0
2020-03-27,MG,0.0,0
2020-03-27,MA,0.0,0
2020-03-27,GO,0.0,0
2020-03-27,ES,0.0,0
2020-03-27,DF,0.0,0
2020-03-27,CE,0.0,0
2020-03-27,BA,0.0,0
2020-03-27,AP,0.0,0
2020-03-27,AM,0.0,0
2020-03-27,AL,0.0,0
2020-03-27,AC,0.0,0
2020-03-28,TO,9.0,0
2020-03-28,SP,77.0,3
2020-03-28,SE,15.0,0
2020-03-28,SC,131.0,0
2020-03-28,RS,50.0,0
2020-03-28,RR,3.0,0
2020-03-28,RO,1.0,0
2020-03-28,RN,43.0,0
2020-03-28,RJ,46.0,2
2020-03-28,PR,114.0,2
2020-03-28,PI,10.0,0
2020-03-28,PE,55.0,4
2020-03-28,PB,2.0,0
2020-03-28,PA,17.0,0
2020-03-28,MT,10.0,0
2020-03-28,MS,3.0,0
2020-03-28,MG,32.0,0
2020-03-28,MA,1.0,0
2020-03-28,GO,44.0,1
2020-03-28,ES,29.0,0
2020-03-28,DF,260.0,0
2020-03-28,CE,321.0,4
2020-03-28,BA,98.0,0
2020-03-28,AP,4.0,0
2020-03-28,AM,109.0,1
2020-03-28,AL,13.0,0
2020-03-28,AC,0.0,0
2020-03-29,TO,9.0,0
2020-03-29,SP,81.0,3
2020-03-29,SE,15.0,0
2020-03-29,SC,140.0,0
2020-03-29,RS,52.0,0
2020-03-29,RR,3.0,0
2020-03-29,RO,1.0,0
2020-03-29,RN,63.0,1
2020-03-29,RJ,52.0,2
2020-03-29,PR,123.0,2
2020-03-29,PI,13.0,0
2020-03-29,PE,59.0,4
2020-03-29,PB,2.0,0
